===ARCS===
ID: 0, Start Node ID: 0, End Node ID: 1297, Left Polygon ID: -1, Right Polygon ID: 2, Points: [(38429562.9, 3738049.289), (38429562.9, 3738184.75576339)]
ID: 1, Start Node ID: 1297, End Node ID: 1238, Left Polygon ID: -1, Right Polygon ID: 436, Points: [(38429562.9, 3738184.75576339), (38429562.9, 3738437.79431839)]
ID: 2, Start Node ID: 1238, End Node ID: 1181, Left Polygon ID: -1, Right Polygon ID: 420, Points: [(38429562.9, 3738437.79431839), (38429562.9, 3739314.11726822)]
ID: 3, Start Node ID: 1181, End Node ID: 1182, Left Polygon ID: -1, Right Polygon ID: 19, Points: [(38429562.9, 3739314.11726822), (38429562.9, 3739389.48200593)]
ID: 4, Start Node ID: 1182, End Node ID: 1239, Left Polygon ID: -1, Right Polygon ID: 424, Points: [(38429562.9, 3739389.48200593), (38429562.9, 3739547.24857801)]
ID: 5, Start Node ID: 1239, End Node ID: 1241, Left Polygon ID: -1, Right Polygon ID: 440, Points: [(38429562.9, 3739547.24857801), (38429562.9, 3739587.56493097)]
ID: 6, Start Node ID: 1241, End Node ID: 1185, Left Polygon ID: -1, Right Polygon ID: 424, Points: [(38429562.9, 3739587.56493097), (38429562.9, 3739655.81960332)]
ID: 7, Start Node ID: 1185, End Node ID: 6, Left Polygon ID: -1, Right Polygon ID: 19, Points: [(38429562.9, 3739655.81960332), (38429562.9, 3739683.6145)]
ID: 8, Start Node ID: 6, End Node ID: 1134, Left Polygon ID: -1, Right Polygon ID: 20, Points: [(38429562.9, 3739683.6145), (38429562.9, 3739771.95119924)]
ID: 9, Start Node ID: 1134, End Node ID: 1028, Left Polygon ID: -1, Right Polygon ID: 378, Points: [(38429562.9, 3739771.95119924), (38429562.9, 3740113.01240585)]
ID: 10, Start Node ID: 1028, End Node ID: 1, Left Polygon ID: -1, Right Polygon ID: 4, Points: [(38429562.9, 3740113.01240585), (38429562.9, 3741317.94)]
ID: 11, Start Node ID: 0, End Node ID: 1298, Left Polygon ID: 1, Right Polygon ID: -1, Points: [(38429562.9, 3738049.289), (38430354.478939, 3738049.289)]
ID: 12, Start Node ID: 1298, End Node ID: 1343, Left Polygon ID: 456, Right Polygon ID: -1, Points: [(38430354.478939, 3738049.289), (38430460.11982, 3738049.289)]
ID: 13, Start Node ID: 1343, End Node ID: 4, Left Polygon ID: 13, Right Polygon ID: -1, Points: [(38430460.11982, 3738049.289), (38431488.175, 3738049.289)]
ID: 14, Start Node ID: 4, End Node ID: 1368, Left Polygon ID: 14, Right Polygon ID: -1, Points: [(38431488.175, 3738049.289), (38431737.0521077, 3738049.289)]
ID: 15, Start Node ID: 1368, End Node ID: 1335, Left Polygon ID: 460, Right Polygon ID: -1, Points: [(38431737.0521077, 3738049.289), (38432144.4272841, 3738049.289)]
ID: 16, Start Node ID: 1335, End Node ID: 1336, Left Polygon ID: 445, Right Polygon ID: -1, Points: [(38432144.4272841, 3738049.289), (38432380.0773339, 3738049.289)]
ID: 17, Start Node ID: 1336, End Node ID: 1369, Left Polygon ID: 466, Right Polygon ID: -1, Points: [(38432380.0773339, 3738049.289), (38432449.9166557, 3738049.289)]
ID: 18, Start Node ID: 1369, End Node ID: 1371, Left Polygon ID: 482, Right Polygon ID: -1, Points: [(38432449.9166557, 3738049.289), (38432580.6183226, 3738049.289)]
ID: 19, Start Node ID: 1371, End Node ID: 1342, Left Polygon ID: 466, Right Polygon ID: -1, Points: [(38432580.6183226, 3738049.289), (38432649.3763529, 3738049.289)]
ID: 20, Start Node ID: 1342, End Node ID: 1242, Left Polygon ID: 445, Right Polygon ID: -1, Points: [(38432649.3763529, 3738049.289), (38432782.6977734, 3738049.289)]
ID: 21, Start Node ID: 1242, End Node ID: 1186, Left Polygon ID: 429, Right Polygon ID: -1, Points: [(38432782.6977734, 3738049.289), (38432944.6070697, 3738049.289)]
ID: 22, Start Node ID: 1186, End Node ID: 1135, Left Polygon ID: 414, Right Polygon ID: -1, Points: [(38432944.6070697, 3738049.289), (38433021.9104622, 3738049.289)]
ID: 23, Start Node ID: 1135, End Node ID: 1081, Left Polygon ID: 400, Right Polygon ID: -1, Points: [(38433021.9104622, 3738049.289), (38433338.7901072, 3738049.289)]
ID: 24, Start Node ID: 1081, End Node ID: 2, Left Polygon ID: 7, Right Polygon ID: -1, Points: [(38433338.7901072, 3738049.289), (38433413.45, 3738049.289)]
ID: 25, Start Node ID: 1, End Node ID: 960, Left Polygon ID: -1, Right Polygon ID: 5, Points: [(38429562.9, 3741317.94), (38429667.2998604, 3741317.94)]
ID: 26, Start Node ID: 960, End Node ID: 882, Left Polygon ID: -1, Right Polygon ID: 341, Points: [(38429667.2998604, 3741317.94), (38429713.5664769, 3741317.94)]
ID: 27, Start Node ID: 882, End Node ID: 818, Left Polygon ID: -1, Right Polygon ID: 327, Points: [(38429713.5664769, 3741317.94), (38429738.5993601, 3741317.94)]
ID: 28, Start Node ID: 818, End Node ID: 759, Left Polygon ID: -1, Right Polygon ID: 314, Points: [(38429738.5993601, 3741317.94), (38429763.6322432, 3741317.94)]
ID: 29, Start Node ID: 759, End Node ID: 700, Left Polygon ID: -1, Right Polygon ID: 300, Points: [(38429763.6322432, 3741317.94), (38429788.6651264, 3741317.94)]
ID: 30, Start Node ID: 700, End Node ID: 643, Left Polygon ID: -1, Right Polygon ID: 286, Points: [(38429788.6651264, 3741317.94), (38429813.6980096, 3741317.94)]
ID: 31, Start Node ID: 643, End Node ID: 579, Left Polygon ID: -1, Right Polygon ID: 24, Points: [(38429813.6980096, 3741317.94), (38430089.6080153, 3741317.94)]
ID: 32, Start Node ID: 579, End Node ID: 519, Left Polygon ID: -1, Right Polygon ID: 249, Points: [(38430089.6080153, 3741317.94), (38430223.4217489, 3741317.94)]
ID: 33, Start Node ID: 519, End Node ID: 472, Left Polygon ID: -1, Right Polygon ID: 235, Points: [(38430223.4217489, 3741317.94), (38430256.3320369, 3741317.94)]
ID: 34, Start Node ID: 472, End Node ID: 428, Left Polygon ID: -1, Right Polygon ID: 217, Points: [(38430256.3320369, 3741317.94), (38430289.2423249, 3741317.94)]
ID: 35, Start Node ID: 428, End Node ID: 385, Left Polygon ID: -1, Right Polygon ID: 208, Points: [(38430289.2423249, 3741317.94), (38430322.1526129, 3741317.94)]
ID: 36, Start Node ID: 385, End Node ID: 343, Left Polygon ID: -1, Right Polygon ID: 198, Points: [(38430322.1526129, 3741317.94), (38430416.3425901, 3741317.94)]
ID: 37, Start Node ID: 343, End Node ID: 305, Left Polygon ID: -1, Right Polygon ID: 188, Points: [(38430416.3425901, 3741317.94), (38430576.3818628, 3741317.94)]
ID: 38, Start Node ID: 305, End Node ID: 268, Left Polygon ID: -1, Right Polygon ID: 177, Points: [(38430576.3818628, 3741317.94), (38430720.2310817, 3741317.94)]
ID: 39, Start Node ID: 268, End Node ID: 234, Left Polygon ID: -1, Right Polygon ID: 167, Points: [(38430720.2310817, 3741317.94), (38430747.4421283, 3741317.94)]
ID: 40, Start Node ID: 234, End Node ID: 200, Left Polygon ID: -1, Right Polygon ID: 157, Points: [(38430747.4421283, 3741317.94), (38430774.6531749, 3741317.94)]
ID: 41, Start Node ID: 200, End Node ID: 161, Left Polygon ID: -1, Right Polygon ID: 148, Points: [(38430774.6531749, 3741317.94), (38430801.8642216, 3741317.94)]
ID: 42, Start Node ID: 161, End Node ID: 121, Left Polygon ID: -1, Right Polygon ID: 132, Points: [(38430801.8642216, 3741317.94), (38430829.0752682, 3741317.94)]
ID: 43, Start Node ID: 121, End Node ID: 84, Left Polygon ID: -1, Right Polygon ID: 116, Points: [(38430829.0752682, 3741317.94), (38430906.5936757, 3741317.94)]
ID: 44, Start Node ID: 84, End Node ID: 56, Left Polygon ID: -1, Right Polygon ID: 99, Points: [(38430906.5936757, 3741317.94), (38431053.3702684, 3741317.94)]
ID: 45, Start Node ID: 56, End Node ID: 38, Left Polygon ID: -1, Right Polygon ID: 83, Points: [(38431053.3702684, 3741317.94), (38431165.7106366, 3741317.94)]
ID: 46, Start Node ID: 38, End Node ID: 28, Left Polygon ID: -1, Right Polygon ID: 73, Points: [(38431165.7106366, 3741317.94), (38431250.4896561, 3741317.94)]
ID: 47, Start Node ID: 28, End Node ID: 21, Left Polygon ID: -1, Right Polygon ID: 63, Points: [(38431250.4896561, 3741317.94), (38431306.2467786, 3741317.94)]
ID: 48, Start Node ID: 21, End Node ID: 15, Left Polygon ID: -1, Right Polygon ID: 53, Points: [(38431306.2467786, 3741317.94), (38431361.4750083, 3741317.94)]
ID: 49, Start Node ID: 15, End Node ID: 12, Left Polygon ID: -1, Right Polygon ID: 43, Points: [(38431361.4750083, 3741317.94), (38431403.7083388, 3741317.94)]
ID: 50, Start Node ID: 12, End Node ID: 9, Left Polygon ID: -1, Right Polygon ID: 33, Points: [(38431403.7083388, 3741317.94), (38431445.9416694, 3741317.94)]
ID: 51, Start Node ID: 9, End Node ID: 5, Left Polygon ID: -1, Right Polygon ID: 17, Points: [(38431445.9416694, 3741317.94), (38431488.175, 3741317.94)]
ID: 52, Start Node ID: 5, End Node ID: 11, Left Polygon ID: -1, Right Polygon ID: 16, Points: [(38431488.175, 3741317.94), (38431533.2346421, 3741317.94)]
ID: 53, Start Node ID: 11, End Node ID: 14, Left Polygon ID: -1, Right Polygon ID: 35, Points: [(38431533.2346421, 3741317.94), (38431578.2942841, 3741317.94)]
ID: 54, Start Node ID: 14, End Node ID: 20, Left Polygon ID: -1, Right Polygon ID: 45, Points: [(38431578.2942841, 3741317.94), (38431626.46041, 3741317.94)]
ID: 55, Start Node ID: 20, End Node ID: 27, Left Polygon ID: -1, Right Polygon ID: 55, Points: [(38431626.46041, 3741317.94), (38431692.022722, 3741317.94)]
ID: 56, Start Node ID: 27, End Node ID: 37, Left Polygon ID: -1, Right Polygon ID: 65, Points: [(38431692.022722, 3741317.94), (38431765.9610498, 3741317.94)]
ID: 57, Start Node ID: 37, End Node ID: 52, Left Polygon ID: -1, Right Polygon ID: 75, Points: [(38431765.9610498, 3741317.94), (38432128.8936283, 3741317.94)]
ID: 58, Start Node ID: 52, End Node ID: 80, Left Polygon ID: -1, Right Polygon ID: 85, Points: [(38432128.8936283, 3741317.94), (38432683.5481784, 3741317.94)]
ID: 59, Start Node ID: 80, End Node ID: 113, Left Polygon ID: -1, Right Polygon ID: 101, Points: [(38432683.5481784, 3741317.94), (38432946.8289448, 3741317.94)]
ID: 60, Start Node ID: 113, End Node ID: 159, Left Polygon ID: -1, Right Polygon ID: 117, Points: [(38432946.8289448, 3741317.94), (38433384.1522462, 3741317.94)]
ID: 61, Start Node ID: 159, End Node ID: 3, Left Polygon ID: -1, Right Polygon ID: 11, Points: [(38433384.1522462, 3741317.94), (38433413.45, 3741317.94)]
ID: 62, Start Node ID: 2, End Node ID: 1080, Left Polygon ID: 8, Right Polygon ID: -1, Points: [(38433413.45, 3738049.289), (38433413.45, 3738272.93582165)]
ID: 63, Start Node ID: 1080, End Node ID: 1027, Left Polygon ID: 375, Right Polygon ID: -1, Points: [(38433413.45, 3738272.93582165), (38433413.45, 3738365.08178208)]
ID: 64, Start Node ID: 1027, End Node ID: 959, Left Polygon ID: 352, Right Polygon ID: -1, Points: [(38433413.45, 3738365.08178208), (38433413.45, 3738615.7869046)]
ID: 65, Start Node ID: 959, End Node ID: 877, Left Polygon ID: 339, Right Polygon ID: -1, Points: [(38433413.45, 3738615.7869046), (38433413.45, 3738683.20012618)]
ID: 66, Start Node ID: 877, End Node ID: 817, Left Polygon ID: 324, Right Polygon ID: -1, Points: [(38433413.45, 3738683.20012618), (38433413.45, 3738763.28542634)]
ID: 67, Start Node ID: 817, End Node ID: 758, Left Polygon ID: 310, Right Polygon ID: -1, Points: [(38433413.45, 3738763.28542634), (38433413.45, 3738932.33156497)]
ID: 68, Start Node ID: 758, End Node ID: 699, Left Polygon ID: 297, Right Polygon ID: -1, Points: [(38433413.45, 3738932.33156497), (38433413.45, 3738989.68129362)]
ID: 69, Start Node ID: 699, End Node ID: 630, Left Polygon ID: 283, Right Polygon ID: -1, Points: [(38433413.45, 3738989.68129362), (38433413.45, 3739243.10277371)]
ID: 70, Start Node ID: 630, End Node ID: 568, Left Polygon ID: 256, Right Polygon ID: -1, Points: [(38433413.45, 3739243.10277371), (38433413.45, 3739304.34745659)]
ID: 71, Start Node ID: 568, End Node ID: 518, Left Polygon ID: 241, Right Polygon ID: -1, Points: [(38433413.45, 3739304.34745659), (38433413.45, 3739412.5635385)]
